,,0,1,2,3,4
LBGI,adolescent#001,0.0,3.3207691346761625,0.0,0.06719270018657754,0.0
HBGI,adolescent#001,7.28257842384583,0.0,4.976392310674107,0.0,6.836089361894785
Risk Index,adolescent#001,7.28257842384583,3.3207691346761625,4.976392310674107,0.06719270018657754,6.836089361894785
