,,0,1,2,3,4
LBGI,adolescent#001,0.0,33.95020598868451,0.0737511468241199,0.0,0.0
LBGI,adolescent#002,0.0,0.0,145.36384037401734,,
LBGI,adolescent#003,0.0,,,,
LBGI,adolescent#004,0.0,110.6877965509629,,,
LBGI,adolescent#005,0.0,0.0,84.1988227655369,,
LBGI,adolescent#006,0.4749816807794432,,,,
LBGI,adolescent#007,0.0,505.72417841136,,,
LBGI,adolescent#008,0.0,53.65427157530636,,,
LBGI,adolescent#009,0.0,2.9093803230949256,252.83789279496742,,
LBGI,adolescent#010,0.0,22.479557432115435,36.500000865577036,0.0,18.643043004597985
HBGI,adolescent#001,7.885219566059297,0.0,0.0,1.3579196297118215,7.137954506544438
HBGI,adolescent#002,4.154754147164623,14.938437865334004,0.0,,
HBGI,adolescent#003,0.00037137205192452053,,,,
HBGI,adolescent#004,12.947598053986667,0.0,,,
HBGI,adolescent#005,2.8644138278322417,6.5792403066593135,0.0,,
HBGI,adolescent#006,0.0,,,,
HBGI,adolescent#007,2.9504448001472205,0.0,,,
HBGI,adolescent#008,19.696400687422607,0.0,,,
HBGI,adolescent#009,6.252490340854518,0.0,0.0,,
HBGI,adolescent#010,7.935083411727851,0.0,0.0,1.289223126043517,0.0
Risk Index,adolescent#001,7.885219566059297,33.95020598868451,0.0737511468241199,1.3579196297118215,7.137954506544438
Risk Index,adolescent#002,4.154754147164623,14.938437865334004,145.36384037401734,,
Risk Index,adolescent#003,0.00037137205192452053,,,,
Risk Index,adolescent#004,12.947598053986667,110.6877965509629,,,
Risk Index,adolescent#005,2.8644138278322417,6.5792403066593135,84.1988227655369,,
Risk Index,adolescent#006,0.4749816807794432,,,,
Risk Index,adolescent#007,2.9504448001472205,505.72417841136,,,
Risk Index,adolescent#008,19.696400687422607,53.65427157530636,,,
Risk Index,adolescent#009,6.252490340854518,2.9093803230949256,252.83789279496742,,
Risk Index,adolescent#010,7.935083411727851,22.479557432115435,36.500000865577036,1.289223126043517,18.643043004597985
